Dewatered_Cake_TS_Percent,WetTons,OperatorExpense,MechanicExpense,BaseExpense,TotalLaborExpense,Total_RRnR_OnM_Variable_Expenses,Additional_Expenses,Total_RRR_Variable_Expenses
18,161111.1111,300000,100000,10159200,10559200,7379875,75000,18014075
18.5,156756.7568,300000,100000,10159200,10559200,7180418.919,75000,17814618.92
19,152631.5789,200000,100000,10159200,10459200,6991460.526,50000,17500660.53
19.5,148717.9487,200000,100000,10159200,10459200,6812192.308,50000,17321392.31
20,145000,100000,0,10159200,10259200,6641887.5,25000,16926087.5
20.5,141463.4146,100000,0,10159200,10259200,6479890.244,25000,16764090.24
21,138095.2381,0,0,10159200,10159200,6325607.143,0,16484807.14
21.5,134883.7209,0,0,10159200,10159200,6178500,0,16337700
22,131818.1818,0,0,10159200,10159200,6038079.545,0,16197279.55
22.5,128888.8889,0,0,10159200,10159200,5903900,0,16063100
23,126086.9565,0,0,10159200,10159200,5775554.348,0,15934754.35
23.5,123404.2553,0,0,10159200,10159200,5652670.213,0,15811870.21
24,120833.3333,0,0,10159200,10159200,5534906.25,0,15694106.25
